Row Labels,Latency,Resolution Times,Sum of Resolution Change Count
October,15532.39522,0,10965
18/10,480.4708889,0,361
19/10,1182.476083,0,903
20/10,1243.925833,0,802
21/10,1199.864417,0,761
22/10,1191.695833,0,816
23/10,1138.034167,0,744
24/10,1143.882083,0,843
25/10,1122.8975,0,812
26/10,1147.716167,0,842
27/10,1155.609417,0,780
28/10,1116.889833,0,831
29/10,1137.134583,0,846
30/10,1105.79325,0,784
31/10,1166.005167,0,840
November,18785.20628,104.807101,12597
1/11,1136.92875,0,833
2/11,1159.6195,0,823
3/11,1139.80125,0,838
4/11,1162.344917,0,927
5/11,1122.273061,0,892
6/11,1121.59775,0,751
7/11,1139.632917,19.86622,752
8/11,1147.472167,0,821
9/11,1140.304833,0,703
10/11,1167.614886,0,743
11/11,1134.136417,0,752
12/11,1117.799333,0,711
13/11,1111.297667,39.90453291,703
14/11,1087.025833,5.019570112,600
15/11,1092.898333,0,685
16/11,1119.478167,40.016778,661
17/11,684.9805,0,402
Grand Total,34317.6015,104.807101,23562
