Time,Resolution Change Count
1,34
2,41
3,50
4,40
5,38
6,37
7,37
8,39
9,45
10,35
11,16
12,47
13,46
14,46
15,26
16,27
17,49
18,43
19,20
20,25
21,25
22,34
23,39
24,35
25,33
26,44
27,50
28,50
29,30
30,45
31,48
32,48
33,42
34,27
35,27
36,32
37,30
38,33
39,25
40,32
41,41
42,41
43,33
44,30
45,43
46,50
47,25
48,31
49,31
50,26
51,37
52,34
53,29
54,32
55,41
56,41
57,31
58,35
59,32
60,33
61,32
62,35
63,35
64,21
65,27
66,30
67,34
68,35
69,35
70,36
71,36
72,37
73,15
74,31
75,23
76,30
77,36
78,36
79,37
80,35
81,25
82,38
83,35
84,35
85,35
86,36
87,27
88,31
89,33
90,34
91,43
92,43
93,41
94,32
95,34
96,27
97,24
98,41
99,41
100,31
101,25
102,37
103,33
104,36
105,24
106,24
107,23
108,27
109,43
110,38
111,32
112,29
113,29
114,34
115,40
116,29
117,23
118,29
119,23
120,23
121,34
122,35
123,30
124,27
125,36
126,38
127,38
128,33
129,27
130,43
131,31
132,31
133,37
134,37
135,41
136,39
137,29
138,46
139,33
140,42
141,42
142,37
143,39
144,36
145,31
146,35
147,33
148,33
149,19
150,36
151,37
152,29
153,27
154,25
155,25
156,34
157,30
158,31
159,33
160,35
161,38
162,38
163,32
164,31
165,28
166,36
167,39
168,32
169,32
170,40
171,37
172,31
173,37
174,37
175,37
176,37
177,37
178,22
179,41
180,32
181,37
182,41
183,41
184,31
185,33
186,31
187,42
188,40
189,43
190,43
191,45
192,29
193,32
194,30
195,33
196,23
197,23
198,35
199,33
200,35
201,47
202,45
203,31
204,31
205,39
206,28
207,32
208,37
209,33
210,37
211,37
212,38
213,28
214,33
215,35
216,28
217,32
218,32
219,25
220,25
221,31
222,32
223,27
224,32
225,32
226,31
227,33
228,27
229,42
230,27
231,34
232,34
233,35
234,37
235,32
236,38
237,37
238,36
239,36
240,39
241,38
242,41
243,35
244,35
245,37
246,37
247,26
248,31
249,33
250,35
251,30
252,25
253,25
254,28
255,35
256,32
257,52
258,27
259,50
260,38
261,38
262,39
263,36
264,39
265,42
266,40
267,29
268,29
269,40
270,32
271,31
272,37
273,37
274,25
275,25
276,35
277,41
278,31
279,29
280,40
281,43
282,43
283,28
284,41
285,28
286,26
287,33
288,25
289,25
290,39
291,34
292,29
293,25
294,34
295,38
296,38
297,29
298,26
299,29
300,42
301,30
302,35
303,35
304,37
305,39
306,25
307,48
308,36
309,39
310,39
311,36
312,40
313,35
314,33
315,26
316,38
317,38
318,28
319,28
320,36
321,42
322,37
323,36
324,36
325,36
326,17
327,48
328,39
329,29
330,33
331,33
332,28
333,34
334,35
335,34
336,29
337,42
338,42
339,29
340,35
341,31
342,41
343,35
344,37
345,37
346,27
347,31
348,33
349,32
350,39
351,36
352,36
353,43
354,23
355,43
356,41
357,34
358,28
359,28
360,39
361,29
362,39
363,25
364,37
365,41
366,41
367,36
368,29
369,33
370,35
371,31
372,49
373,49
374,34
375,31
376,31
377,33
378,36
379,38
380,38
381,45
382,35
383,32
384,31
385,31
386,29
387,29
388,29
389,37
390,37
391,37
392,29
393,32
394,32
395,35
396,39
397,48
398,33
399,47
400,43
401,43
402,37
403,22
404,50
405,44
406,29
407,41
408,41
409,43
410,44
411,49
412,37
413,38
414,31
415,31
416,33
417,37
418,33
419,34
420,38
421,39
422,39
423,47
424,31
425,46
426,42
427,43
428,41
429,41
430,45
431,36
432,41
433,39
434,32
435,37
436,37
437,29
438,38
439,27
440,27
441,30
442,17
443,26
444,26
445,34
446,31
447,39
448,26
449,35
450,31
451,31
452,23
453,29
454,29
455,29
456,47
457,30
458,30
459,34
460,41
461,36
462,33
463,32
464,31
465,31
466,31
467,37
468,27
469,31
470,32
471,22
472,22
473,37
474,29
475,33
476,29
477,42
478,28
479,28
480,33
481,35
482,36
483,35
484,40
485,31
486,31
487,31
488,21
489,31
490,23
491,37
492,41
493,41
494,29
495,38
496,35
497,26
498,33
499,37
500,37
501,39
502,44
503,41
504,20
505,29
506,40
507,40
508,27
509,33
510,33
511,31
512,29
513,38
514,38
515,22
516,29
517,29
518,38
519,27
520,25
521,25
522,35
523,31
524,32
525,33
526,32
527,29
528,29
529,27
530,30
531,33
532,35
533,29
534,21
535,21
536,22
537,31
538,37
539,25
540,29
541,31
542,31
543,29
544,36
545,35
546,31
547,36
548,39
549,39
550,35
551,27
552,36
553,29
554,29
555,26
556,26
557,27
558,31
559,25
560,23
561,31
562,23
563,23
564,33
565,31
566,42
567,28
568,25
569,21
570,21
571,35
572,37
573,32
574,38
575,41
576,38
577,38
578,27
579,27
580,25
581,31
582,27
583,31
584,39
585,39
586,30
587,36
588,28
589,19
590,23
591,35
592,35
593,31
594,21
595,38
596,33
597,35
598,25
599,25
600,33
601,29
602,32
603,25
604,35
605,31
606,31
607,26
608,23
609,32
610,29
611,28
612,30
613,30
614,37
615,31
616,23
617,24
618,27
619,33
620,33
621,35
622,30
623,37
624,32
625,29
626,27
627,27
628,35
629,21
630,20
631,34
632,17
633,34
634,34
635,32
636,23
637,19
638,31
639,25
640,21
641,21
642,34
643,31
644,29
645,7
646,16
647,27
648,27
649,16
650,27
651,19
652,30
653,30
654,24
655,24
656,36
657,17
658,18
659,33
660,31
661,26
662,26
663,27
664,26
665,33
666,27
667,31
668,29
669,29
670,35
671,35
672,29
673,26
674,31
675,35
676,35
677,37
678,21
679,8
680,32
681,25
682,19
683,19
684,43
685,28
686,33
687,29
688,27
689,37
690,37
691,31
692,34
693,24
694,14
695,28
696,5
697,5
698,37
699,41
700,39
701,21
702,25
703,29
704,29
705,27
706,22
707,26
708,17
709,35
710,23
711,23
712,32
713,24
714,23
715,31
716,30
717,25
718,25
719,33
720,33
